"id_customer","cc_num","firstname","lastname","gender","address","job","dob","acct_num","id_geolocation"
"263-99-6044","4241904966319315",Melissa,Turner,F,"058 Stanley Cliff",Risk manager,"2005-05-30",376443331852,6339
"292-61-7844","30520471167198",Mark,Brown,M,"413 Angela Mall",Trading standards officer,"2003-04-19",870143739098,6200
"491-28-3311","180084219933088",Courtney,Hall,F,"5712 Tamara Estate",Optometrist,"2002-04-17",965855026307,3547
"826-23-1754","2623398454615676",Krystal,Branch,F,"1016 Bennett Mountains",Banker,"2001-07-15",11324746755,6302
"172-11-9264","639034043849",Carol,Ellis,F,"819 Joseph Plains Suite 807",Sports coach,"2003-11-21",113495175185,5227
"150-95-7922","343731453038560",Julie,Gibson,F,"51844 Nicholas Lane",Medical secretary,"2006-03-06",719783599768,4047
"841-99-2980","3525799136621031",Joseph,Blankenship,M,"91279 Natalie Place Apt. 172",Toxicologist,"2005-07-01",908554315130,6271
"705-41-6699","342694486959460",Nicole,Gutierrez,F,"58874 Lane Trail Suite 213",Product manager,"2003-01-23",772162574642,6302
"016-22-4524","3563009792513271",Anna,Montgomery,F,"52812 Hall Point","Loss adjuster, chartered","2001-08-26",982712248618,5614
"639-46-2126","3587729343010715",Nancy,Clark,F,"0558 Alex Flats Suite 414",Hydrologist,"2005-02-10",603471636817,6328
"088-02-7683","4636694118005374",Terry,Barajas,M,"48964 Lambert Curve","Surveyor, land/geomatics","2001-11-18",635831790274,6328
"738-76-3908","36184787005057",Rachel,Williams,F,"87829 Sandy Camp",Counsellor,"1935-09-26",719359325217,6082
"508-68-8597","2267617422438643",Laura,Arnold,F,"186 Davis Shore","Teacher, adult education","2009-07-05",278368962712,5835
"122-78-6695","5459408215454471",Alyssa,Thomas,F,"44327 David Keys Apt. 067","Teacher, primary school","2003-01-22",619805450053,5476
"582-05-2280","4999966361863712",Gary,Hayden,M,"21820 Johnson Flat Apt. 643","Exhibitions officer, museum/gallery","2002-05-27",722804794435,3308
"828-04-3697","3513325411076099",Rebecca,Mcconnell,F,"17350 Stone Freeway Apt. 997",Chief of Staff,"2001-08-05",492312124212,5561
"045-31-2588","4137681511856724388",Amanda,Johnson,F,"5636 Alex Crescent Apt. 577","Psychologist, clinical","2000-02-21",90487389653,6302
"175-23-6139","4372817932302341",William,Savage,M,"912 Kelly Lane Apt. 415",Air traffic controller,"2001-12-26",260213369900,6331
"011-23-9295","4155799802841397",Alyssa,Johnson,F,"51305 Jeffrey Stream",Computer games developer,"2007-05-30",301797003309,6306
"497-83-2771","180027601534337",Brittany,Franklin,F,"357 Hudson Route","Administrator, charities/voluntary organisations","2003-03-26",823946427847,1311
"218-61-6166","30316252654698",Jennifer,Jones,F,"903 Katrina Land Suite 580",Tree surgeon,"2002-09-01",827207137194,6083
"334-72-9175","3539874113257978",Tristan,Arroyo,M,"734 Brown Centers Suite 485",Primary school teacher,"2004-05-29",313204503271,1938
"182-73-0152","4270093459626222",Taylor,Sanford,F,"1207 Kevin Road",Midwife,"2001-10-16",927322011674,1493
"145-45-7516","6011702324412332",Jeffrey,Ramsey,M,"850 Moore Courts",Public affairs consultant,"2005-06-15",753980774675,6337
"564-92-4845","4476818268323039",Nicholas,Gomez,M,"880 Ryan Square",Set designer,"1988-09-23",408738093816,631
"446-53-2009","4370526351004625",Robin,Ford,F,"572 Mcgee Station Suite 592",Actor,"2002-08-19",862726533765,6314
"018-37-0051","371299650826950",Kimberly,Thomas,F,"86965 Mccoy Village Apt. 087",Physiological scientist,"2004-10-08",739156367365,4732
"561-61-8167","4638164321260",Manuel,Phillips,M,"946 Moore Gardens",Personnel officer,"1999-10-18",789228069691,6334
"255-06-4170","346502544724196",Brent,Stewart,M,"44096 Bruce Mountains",Radio broadcast assistant,"2005-05-20",824338905639,5350
"529-17-4239","3588067821417469",Kelly,Carney,F,"9266 Gardner Ridges",Solicitor,"2000-08-08",887415004383,6017
"035-78-3766","4948424959881144",Gregory,Garrett,M,"71523 West Neck Apt. 820",Warden/ranger,"2005-02-13",302589063491,6302
"186-45-7866","30545847262902",Erika,Montgomery,F,"8316 Andrea Falls Suite 172",Biomedical scientist,"2001-05-04",753582792972,6324
"217-69-6086","349597721688005",Paul,Mejia,M,"8931 Franklin Drives",Rural practice surveyor,"2001-05-06",639557630974,5620
"564-83-2266","4469510030763",Sydney,Smith,F,"9671 Smith Spurs Apt. 666","Pharmacist, hospital","2000-10-21",99938187638,6326
"547-34-6596","30357422332229",Tamara,Romero,F,"442 Castro Skyway",Systems developer,"2003-09-12",786641655589,5722
"702-81-3017","4606295350637316",Scott,Wilson,M,"6741 Adam Skyway",International aid/development worker,"2000-01-06",941581880015,458
"329-88-4271","3533083344470485",Ryan,Porter,M,"47020 Austin Lane Suite 195",Energy manager,"2002-03-31",750708841892,6309
"283-10-8341","4167347853692",Kimberly,Ferguson,F,"9804 Stewart Turnpike Apt. 860","Journalist, newspaper","2000-12-22",188827604008,6193
"404-17-3029","5373277264883952",Justin,Joseph,M,"522 Jackson Ville Suite 251","Optician, dispensing","2003-03-08",358639892812,4748
"433-72-6568","344062215599676",Breanna,Randolph,F,"21905 Jason Roads",Hospital pharmacist,"2003-04-28",873766329179,6323
"486-40-2203","4513609085818102",Drew,Brown,M,"3736 Rebecca Square",Set designer,"2001-01-26",225469416426,6318
"744-28-0487","4681193978148",Theresa,Rogers,F,"99217 Ray Land",Interpreter,"1979-01-13",614815149376,5187
"732-71-6360","3563395348110500",Samantha,Gilmore,F,"6427 Foley Crossing Suite 738",Leisure centre manager,"2007-09-26",817422262939,3079
"172-32-5858","5225550193545037",Savannah,Carpenter,F,"393 James Estates Suite 362","Therapist, drama","2000-04-02",143566818418,2680
"241-42-9667","3509378146047618",Edward,Bryant,M,"3706 Miller Terrace Suite 564",Patent examiner,"2006-10-25",514747877613,6341
"069-38-4875","676376291438",Sarah,Harrell,F,"41038 Morris Roads",Speech and language therapist,"2005-02-09",143752887475,822
"768-04-9424","3521836677196660",Jessica,Miller,F,"6342 Dennis Vista","Conservation officer, historic buildings","2000-07-26",747898286834,5084
"870-67-6986","4112200848421",James,King,M,"36796 Stacey Pass",Dietitian,"2003-06-17",595674760252,6339
"724-09-3155","30054245190823",James,Jones,M,"35659 White Ports","Therapist, horticultural","2003-03-24",193230907546,2184
"857-94-8531","4974997990522170",Becky,Ramirez,F,"6581 Wanda Branch Suite 173",Intelligence analyst,"2000-11-21",946638203741,6324
"688-50-3210","373010127896957",Bradley,Drake,M,"48527 Bell Lane",Public relations officer,"2002-04-20",979462020439,5954
"831-06-5427","4286060480224063",Rachel,Boone,F,"7695 Jennifer Brooks Suite 189",Risk analyst,"2000-02-08",478160779315,6193
"257-73-0544","3503425197018158",Justin,Garcia,M,"296 Best Mountain Suite 215",Fine artist,"1941-06-29",657417693385,6302
"399-96-3851","30170483648114",Michael,Barber,M,"8594 Charles Gateway Suite 931","Engineer, manufacturing","2001-09-17",939580198476,5365
"316-87-1571","38326096856880",Melissa,Dillon,F,"08597 Shelly Parkway Suite 794","Engineer, petroleum","2000-09-18",768579641600,6313
"334-46-9274","6011743963994958",Thomas,Roberts,M,"955 Perry Mews",Mental health nurse,"2000-09-30",82456441625,6021
"510-17-3380","5552423525600859",Patrick,Mills,M,"617 Daniel Vista Apt. 520",Media buyer,"2002-03-01",807059542151,3735
"585-68-1262","675995163523",Angela,Chen,F,"202 Kelly Coves",Ranger/warden,"2004-02-17",439538165118,4641
"502-57-2706","2253486965371553",John,Rodriguez,M,"2089 Cameron Motorway",Environmental education officer,"2001-04-22",730274668880,6320
"745-46-2535","342258467901758",Patricia,Christian,F,"294 Murphy Estates Apt. 967",Forest/woodland manager,"2006-05-22",960692459004,1079
"436-29-0958","347043692259163",David,Young,M,"74690 Tony Ford",Clinical cytogeneticist,"2003-02-03",668954667449,6314
"705-42-8258","4408354427883",Heather,Gardner,F,"206 Watson Ridge","Engineer, building services","2004-04-20",404490484769,5536
"634-36-7547","4796263896549",Ralph,Hart,M,"791 Spencer Roads Apt. 200",Statistician,"2004-04-07",711753815191,4770
"873-54-7770","3567781898636133",Sheila,Nguyen,F,"592 Danny Points Suite 723",Learning mentor,"2002-12-29",695618199673,6309
"389-63-3390","347810728394762",Debra,Barber,F,"61499 Diana Skyway",Fast food restaurant manager,"2001-11-08",846569479109,6314
"115-55-9075","4608099371519315",Timothy,Kirby,M,"9883 James Route Suite 738",Community pharmacist,"2000-01-15",245224241392,5990
"126-84-1488","36170613011278",Daniel,Walker,M,"817 Anthony Gardens","Investment banker, corporate","2000-03-07",646264281426,6193
"205-82-4711","5200665848439300",Nicole,Hill,F,"56089 Clay Lights",Health and safety adviser,"2001-02-23",947320459978,5929
"047-16-4886","180078165608801",Steve,Sparks,M,"89024 Gould Valley Apt. 882",Podiatrist,"1950-06-19",511382866640,6338
"654-02-8770","3511258044306579",Tammy,Martinez,F,"71681 Annette Court",Professor Emeritus,"2001-12-19",459558237369,5538
"453-31-4115","372471155822185",Brian,Knight,M,"1907 Ryan Mountains",Physiotherapist,"2002-06-18",734332649009,5893
"167-40-0273","4384920317591458",Adam,Williams,M,"395 Taylor Lane",Warden/ranger,"2007-03-18",675347227219,6243
"169-19-3447","38504480632444",Krista,Lynch,F,"0412 Garcia Stream Suite 542","Psychologist, sport and exercise","2002-06-17",273097825190,6333
"811-07-9162","4130160644903590",Dana,Cowan,F,"7334 Savannah Station",Archivist,"1999-10-10",837334442716,6326
"194-82-7538","378263218945101",Kristin,Reed,F,"119 White Crest",Research scientist (maths),"2004-06-23",978470442978,6320
"386-26-9833","30505792151096",Justin,Davis,M,"944 Alexis Dam",Psychiatric nurse,"2003-01-13",246909603214,6326
"100-52-4006","4533630575781",Robin,Powell,F,"0250 Ball Light",Physiotherapist,"2004-04-20",49077547083,6326
"267-26-9320","6583596000182088",Katherine,Hughes,F,"819 Jennifer Prairie",Dance movement psychotherapist,"2001-06-19",87946993450,6291
"409-49-2510","4056094461504",Scott,Taylor,M,"0665 Reynolds Centers",Media buyer,"1999-11-26",680103377593,6337
"760-13-2766","370620981804096",Shane,Le,M,"1414 Michael Circle","Surveyor, insurance","2005-03-07",14382375411,6314
"579-51-2212","213102840521857",Amber,Reyes,F,"319 Edward Lodge",Astronomer,"1934-08-04",769927321248,2175
"534-99-5586","4185811014602352",Danielle,Morgan,F,"289 Connor Groves Apt. 812",Financial manager,"2003-01-23",469597106974,6297
"382-16-1519","565625762101",Veronica,Barber,F,"80579 Brooks Burg",Automotive engineer,"2000-08-22",282459206765,3567
"573-47-1495","6522873511877868",David,Mcknight,M,"4877 Turner Lodge","Engineer, chemical","2001-02-19",492135351837,3057
"306-21-6344","4963946845831090352",Kristen,Cooper,F,"63275 Mary Overpass Apt. 926",Information officer,"2000-01-06",121050466932,6297
"743-56-0436","30347843267484",Eric,Nelson,M,"03233 Shepherd Gardens",Product manager,"1963-11-20",479813347412,5874
"515-43-6477","4217627243814457",Jason,Petersen,M,"49975 Debra Cliff Suite 463",Financial planner,"2001-04-20",285804705916,4227
"254-43-4107","4603224080777",Maria,Smith,F,"171 Williams Light Suite 246","Administrator, Civil Service","2003-02-02",560520080417,6324
"335-88-8445","213173271463554",Edward,Ferguson,M,"638 Thompson Fords Apt. 383","Designer, fashion/clothing","2004-04-05",140669188390,5114
"142-38-0787","340451066605886",Amanda,Stewart,F,"439 Matthew Pine",Sales promotion account executive,"2004-10-10",177150945621,5957
"575-22-5710","344321172456050",Angela,Thompson,F,"617 Alicia Creek","Engineer, communications","2001-05-15",246274014413,6105
"707-47-5956","345181761426628",Elizabeth,Perez,F,"0411 Walter Center Apt. 649","Civil engineer, contracting","2004-09-15",722935841656,5795
